"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-116.410126,27.383348,17.770786,0.13856654,1,2014,3
-115.23259,27.387758,17.67607,0.23041318,1,2014,3
-115.23761,27.402943,17.707138,0.23901825,1,2014,3
-115.236725,27.4176,17.57455,0.27999997,1,2014,3
-115.249626,27.418507,17.589684,0.28381276,1,2014,3
-115.26116,27.45603,17.414064,0.435551,1,2014,3
-115.54624,27.471155,17.590029,0.2807777,1,2014,3
-115.27709,27.473263,17.416656,0.40903965,1,2014,3
-115.52814,27.485823,17.58643,0.28905404,1,2014,3
-115.543724,27.487717,17.557507,0.2994057,1,2014,3
-115.28008,27.494226,17.30717,0.48360392,1,2014,3
-115.49793,27.507708,17.544909,0.25211135,1,2014,3
-115.53908,27.525167,17.480444,0.30235404,1,2014,3
-115.31425,27.528114,17.347937,0.43115556,1,2014,3
-115.29992,27.529453,17.229374,0.49899113,1,2014,3
-115.45916,27.531658,17.47347,0.32092407,1,2014,3
-115.35338,27.557705,17.425026,0.3657786,1,2014,3
-115.5216,27.561615,17.485256,0.2856767,1,2014,3
-115.36163,27.562628,17.30317,0.3961104,1,2014,3
-115.33022,27.562708,17.241945,0.47394282,1,2014,3
-116.02495,27.563816,17.528933,0.17896716,1,2014,3
-116.060715,27.572586,17.566721,0.17934972,1,2014,3
-115.49124,27.574078,17.440907,0.32116047,1,2014,3
-115.303406,27.577684,17.139404,0.58645344,1,2014,3
-116.353874,27.579033,17.799015,0.13144153,1,2014,3
-116.29863,27.579107,17.729942,0.13594468,1,2014,3
-116.2421,27.584702,17.657614,0.15967691,1,2014,3
-115.46187,27.585411,17.399263,0.31548172,1,2014,3
-116.39996,27.585648,17.873495,0.13347149,1,2014,3
-116.186905,27.587898,17.636429,0.17446718,1,2014,3
-116.14173,27.588522,17.621454,0.15668811,1,2014,3
-116.06676,27.589315,17.595297,0.16438854,1,2014,3
-116.10507,27.589537,17.609009,0.15829988,1,2014,3
-115.70393,27.594723,17.375566,0.28051057,1,2014,3
-115.82279,27.595016,17.375551,0.2722289,1,2014,3
-116.44102,27.595028,17.92775,0.12999141,1,2014,3
-115.74129,27.595976,17.376074,0.27330872,1,2014,3
-115.57827,27.599632,17.380175,0.35599062,1,2014,3
-115.65156,27.600119,17.36759,0.3251067,1,2014,3
-115.32895,27.600912,17.120266,0.53597885,1,2014,3
-116.01254,27.602182,17.528181,0.18486099,1,2014,3
-115.59763,27.602697,17.347292,0.37255234,1,2014,3
-115.783966,27.604366,17.36908,0.27593336,1,2014,3
-116.49411,27.604727,17.915997,0.13207099,1,2014,3
-115.27784,27.605545,17.012667,0.7069699,1,2014,3
-115.54012,27.60794,17.369442,0.33535182,1,2014,3
-115.41301,27.609106,17.236395,0.4057357,1,2014,3
-116.552155,27.612267,17.951479,0.13410069,1,2014,3
-115.742935,27.614153,17.396624,0.2969099,1,2014,3
-115.26677,27.616545,16.890526,0.7865862,1,2014,3
-115.38223,27.617088,17.185596,0.5444779,1,2014,3
-116.61606,27.618729,17.978203,0.137563,1,2014,3
-115.48351,27.620031,17.368324,0.3648897,1,2014,3
-115.43991,27.620756,17.30168,0.43467772,1,2014,3
-116.73241,27.625084,18.063276,0.10756311,1,2014,3
-116.738976,27.625654,18.079292,0.11428236,1,2014,3
-116.69778,27.627827,18.037788,0.11401925,1,2014,3
-115.714615,27.628424,17.399723,0.31495824,1,2014,3
-115.33186,27.638037,16.985289,0.6454055,1,2014,3
-116.699265,27.638391,18.058987,0.11398908,1,2014,3
-115.73779,27.638552,17.372932,0.28530636,1,2014,3
-115.99245,27.63946,17.530848,0.18443908,1,2014,3
-115.66767,27.639568,17.372652,0.340274,1,2014,3
-115.521706,27.639603,17.259012,0.41723517,1,2014,3
-116.7002,27.639935,18.073963,0.10803992,1,2014,3
-116.78952,27.640251,18.063894,0.12080479,1,2014,3
-115.41861,27.640598,17.091173,0.4702035,1,2014,3
-115.29208,27.642502,16.87664,0.77016705,1,2014,3
-115.55249,27.646402,17.290161,0.45121536,1,2014,3
-115.986115,27.650188,17.479815,0.19151117,1,2014,3
-116.83349,27.653921,18.04125,0.12764207,1,2014,3
-115.61071,27.656633,17.312729,0.40789092,1,2014,3
-115.77318,27.658894,17.34631,0.27768782,1,2014,3
-115.45559,27.659063,17.156433,0.39925388,1,2014,3
-115.70204,27.661251,17.381836,0.27847612,1,2014,3
-115.49588,27.66793,17.216707,0.40005666,1,2014,3
-116.87379,27.669363,18.028727,0.12929387,1,2014,3
-115.612785,27.674898,17.340073,0.33500242,1,2014,3
-115.970406,27.675665,17.481518,0.19352935,1,2014,3
-115.70872,27.67618,17.312098,0.3826475,1,2014,3
-115.318,27.677273,16.861275,0.7655392,1,2014,3
-115.611725,27.677765,17.250647,0.46922198,1,2014,3
-115.66145,27.679846,17.318226,0.41452664,1,2014,3
-115.42577,27.680008,17.016016,0.48023364,1,2014,3
-115.62919,27.682438,17.290249,0.411116,1,2014,3
-116.934265,27.686396,18.064726,0.12482581,1,2014,3
-115.826515,27.68691,17.347176,0.24621949,1,2014,3
-115.48077,27.690397,17.071526,0.4782001,1,2014,3
-115.35652,27.691048,16.916847,0.6347396,1,2014,3
-115.561905,27.691187,17.19297,0.5327368,1,2014,3
-115.51701,27.691868,17.127005,0.51410276,1,2014,3
-115.94985,27.697989,17.427885,0.18817955,1,2014,3
-115.72885,27.700108,17.310825,0.2776369,1,2014,3
-116.97291,27.711458,18.073141,0.122241296,1,2014,3
-115.555016,27.713049,17.099472,0.59882283,1,2014,3
-115.929665,27.714308,17.448889,0.1992536,1,2014,3
-115.60758,27.71513,17.155546,0.5307701,1,2014,3
-115.46423,27.720924,17.00379,0.48878765,1,2014,3
-115.45263,27.723772,16.9178,0.50837505,1,2014,3
-115.682945,27.724495,17.250689,0.38281155,1,2014,3
-115.696884,27.726295,17.28133,0.29619595,1,2014,3
-115.64652,27.727629,17.206314,0.43587133,1,2014,3
-115.9109,27.730198,17.409336,0.21722104,1,2014,3
-115.50095,27.733887,17.05763,0.5771567,1,2014,3
-117.01852,27.734861,18.100788,0.12331498,1,2014,3
-115.86474,27.743174,17.379417,0.21847098,1,2014,3
-115.39648,27.743301,16.861883,0.557035,1,2014,3
-117.05099,27.745699,18.123495,0.11185585,1,2014,3
-115.80939,27.74737,17.340508,0.22495069,1,2014,3
-115.4124,27.750162,16.794966,0.5535649,1,2014,3
-115.68474,27.750347,17.227594,0.32824868,1,2014,3
-115.54125,27.75051,17.058945,0.65092325,1,2014,3
-115.590935,27.750633,17.104767,0.44588587,1,2014,3
-115.70622,27.751118,17.283604,0.29282925,1,2014,3
-115.45161,27.75149,16.878231,0.5587436,1,2014,3
-117.06809,27.75551,18.121555,0.120631814,1,2014,3
-115.61304,27.75595,17.166801,0.404168,1,2014,3
-115.524605,27.759033,17.03132,0.6500973,1,2014,3
-115.81941,27.775265,17.34967,0.22644117,1,2014,3
-117.11015,27.777594,18.147995,0.116518356,1,2014,3
-115.4877,27.785618,16.9725,0.5108634,1,2014,3
-115.70061,27.788267,17.27052,0.26520994,1,2014,3
-115.675446,27.789167,17.212149,0.31052333,1,2014,3
-115.64295,27.789358,17.153116,0.3410157,1,2014,3
-115.589005,27.790064,17.092453,0.3879444,1,2014,3
-115.78403,27.798054,17.337404,0.22471629,1,2014,3
-115.746124,27.800827,17.307755,0.23725778,1,2014,3
-115.4971,27.802261,16.943197,0.7013878,1,2014,3
-117.147606,27.80452,18.168037,0.10550903,1,2014,3
-115.51847,27.816723,17.005955,0.5876385,1,2014,3
-115.81262,27.820526,17.363205,0.23260123,1,2014,3
-115.81092,27.825195,17.353127,0.22879304,1,2014,3
-115.75323,27.828566,17.309284,0.23176445,1,2014,3
-117.18882,27.82912,18.23458,0.095267005,1,2014,3
-115.57248,27.830635,17.008003,0.44029394,1,2014,3
-115.86715,27.832094,17.375841,0.22250676,1,2014,3
-115.60313,27.832388,17.080585,0.38869983,1,2014,3
-115.70706,27.833338,17.268044,0.25088924,1,2014,3
-119.55068,27.848501,18.172504,0.08975498,1,2014,3
-115.88193,27.852295,17.399784,0.21050073,1,2014,3
-119.547226,27.855513,18.173567,0.09177784,1,2014,3
-117.230606,27.856014,18.238527,0.08949897,1,2014,3
-115.6852,27.86181,17.216188,0.29556128,1,2014,3
-119.52294,27.862803,18.153585,0.08973268,1,2014,3
-115.760925,27.863243,17.32219,0.24398279,1,2014,3
-115.61367,27.863873,17.191628,0.34968194,1,2014,3
-115.712776,27.865965,17.287025,0.25203475,1,2014,3
-115.8624,27.8794,17.366482,0.207973,1,2014,3
-117.25651,27.880747,18.232819,0.09263123,1,2014,3
-115.61118,27.881117,17.114298,0.4130718,1,2014,3
-119.48263,27.882088,18.165289,0.0927811,1,2014,3
-115.76444,27.889723,17.341356,0.24183209,1,2014,3
-115.7878,27.900766,17.35001,0.23852952,1,2014,3
-115.7026,27.901037,17.308453,0.25164616,1,2014,3
-115.730125,27.901253,17.344109,0.23395391,1,2014,3
-117.26205,27.902132,18.1948,0.10537295,1,2014,3
-115.845375,27.906282,17.35552,0.21199976,1,2014,3
-115.80938,27.909943,17.347689,0.22190113,1,2014,3
-119.445625,27.910011,18.147182,0.08762129,1,2014,3
-116.733505,27.912977,18.144836,0.12473121,1,2014,3
-116.78832,27.914787,18.134342,0.11768567,1,2014,3
-116.57912,27.914968,18.039343,0.11317664,1,2014,3
-116.53567,27.917904,18.039305,0.11834093,1,2014,3
-116.60359,27.918947,18.050413,0.12425927,1,2014,3
-116.68324,27.919075,18.123123,0.12731552,1,2014,3
-116.63517,27.926735,18.086897,0.1282504,1,2014,3
-119.42867,27.930708,18.140232,0.08943313,1,2014,3
-116.484604,27.932543,18.02124,0.11828183,1,2014,3
-115.786964,27.93793,17.365656,0.23205289,1,2014,3
-115.72462,27.93806,17.340425,0.24793223,1,2014,3
-117.27687,27.938505,18.164005,0.11523727,1,2014,3
-115.74456,27.93947,17.374119,0.21593025,1,2014,3
-115.83232,27.94071,17.344538,0.2296841,1,2014,3
-119.43935,27.943092,18.091051,0.08107034,1,2014,3
-116.97237,27.944761,18.135965,0.114855275,1,2014,3
-116.43615,27.945118,17.983286,0.1180372,1,2014,3
-119.39076,27.947453,18.098253,0.08255856,1,2014,3
-115.66794,27.955034,17.299383,0.25438124,1,2014,3
-116.38975,27.955122,17.967585,0.118297264,1,2014,3
-119.41623,27.9577,18.095125,0.08952952,1,2014,3
-117.0087,27.961033,18.125834,0.108365424,1,2014,3
-119.360725,27.969563,18.105242,0.090215795,1,2014,3
-117.30401,27.973213,18.18739,0.139412,1,2014,3
-116.33865,27.975002,17.970505,0.115820624,1,2014,3
-117.04054,27.975903,18.094557,0.11809534,1,2014,3
-115.77582,27.977797,17.366322,0.21737422,1,2014,3
-115.75219,27.982018,17.376013,0.22881526,1,2014,3
-116.13195,27.984392,17.805992,0.1310069,1,2014,3
-119.39325,27.986702,18.058119,0.08668585,1,2014,3
-116.059814,27.98778,17.685163,0.14166032,1,2014,3
-115.71103,27.987894,17.355423,0.25206757,1,2014,3
-116.29071,27.98939,17.960777,0.11499997,1,2014,3
-119.329346,27.992626,18.072113,0.07959091,1,2014,3
-117.093155,27.996656,18.08999,0.119832665,1,2014,3
-115.8352,27.998861,17.356165,0.21333064,1,2014,3
-116.20376,27.999912,17.918453,0.12979613,1,2014,3
-117.343575,28.001158,18.18559,0.12507729,1,2014,3
-115.99484,28.007849,17.628687,0.14413774,1,2014,3
-116.24134,28.008781,17.946018,0.120647244,1,2014,3
-115.9144,28.011166,17.472378,0.16540787,1,2014,3
-119.31112,28.01193,18.069784,0.07900908,1,2014,3
-116.202095,28.013247,17.928148,0.12889548,1,2014,3
-119.36959,28.013435,18.009783,0.08608031,1,2014,3
-115.943756,28.016321,17.517992,0.15314624,1,2014,3
-115.88565,28.016727,17.443499,0.18660763,1,2014,3
-115.68618,28.016832,17.31725,0.23465787,1,2014,3
-117.120056,28.020084,18.054394,0.1288472,1,2014,3
-115.70513,28.021399,17.347551,0.2265185,1,2014,3
-116.082756,28.026243,17.762169,0.1366944,1,2014,3
-119.35883,28.02658,18.029661,0.08394262,1,2014,3
