"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-126.99646,26.909464,19.078352,0.063180976,1,2014,2
-127.14219,26.909515,19.057169,0.05161671,1,2014,2
-127.21112,26.91088,19.004366,0.05133833,1,2014,2
-126.92366,26.91099,19.089748,0.057726197,1,2014,2
-127.07074,26.91118,19.110556,0.053718135,1,2014,2
-127.284996,26.91123,18.94643,0.051651496,1,2014,2
-127.35474,26.913742,18.966524,0.04718846,1,2014,2
-126.77703,26.915033,19.145359,0.056374446,1,2014,2
-126.84872,26.915487,19.11855,0.057233743,1,2014,2
-126.71037,26.915653,19.144205,0.061446555,1,2014,2
-127.42774,26.91585,18.967846,0.05698051,1,2014,2
-127.49411,26.92001,18.965708,0.05570648,1,2014,2
-126.6386,26.920849,19.151264,0.05456289,1,2014,2
-127.5651,26.923962,18.934742,0.050581817,1,2014,2
-127.63301,26.925898,18.92775,0.05124795,1,2014,2
-126.564926,26.926895,19.10263,0.053938646,1,2014,2
-126.495026,26.929731,19.111834,0.055565145,1,2014,2
-127.70271,26.930761,18.928753,0.04987884,1,2014,2
-126.4263,26.93101,19.133686,0.053120248,1,2014,2
-126.348145,26.932589,19.089434,0.055515286,1,2014,2
-126.27564,26.93426,19.138727,0.05229761,1,2014,2
-126.20733,26.93555,19.164347,0.04894466,1,2014,2
-127.77541,26.938526,18.912207,0.053590022,1,2014,2
-127.85002,26.941523,18.906267,0.059692193,1,2014,2
-126.14289,26.943827,19.129715,0.051394008,1,2014,2
-127.92357,26.949247,18.904291,0.053845484,1,2014,2
-126.077995,26.951319,19.10041,0.051672168,1,2014,2
-126.02329,26.95526,19.083569,0.053706862,1,2014,2
-127.99335,26.956984,18.869505,0.05615404,1,2014,2
-128.06604,26.959974,18.8699,0.05120203,1,2014,2
-125.95345,26.964254,19.05395,0.053258106,1,2014,2
-128.13023,26.97145,18.835348,0.053121287,1,2014,2
-125.87986,26.97479,18.987497,0.054253794,1,2014,2
-128.2021,26.977545,18.787518,0.054694146,1,2014,2
-125.82001,26.978676,18.979342,0.05526756,1,2014,2
-125.80989,26.97945,18.962019,0.05273689,1,2014,2
-128.27101,26.987883,18.834694,0.05615539,1,2014,2
-125.67939,26.992289,18.933025,0.05686279,1,2014,2
-125.70588,26.99247,18.941206,0.04473713,1,2014,2
-128.33707,26.992485,18.82712,0.057704844,1,2014,2
-125.756584,26.994291,18.943068,0.048508294,1,2014,2
-125.61335,26.999004,18.894854,0.05708781,1,2014,2
-128.40253,27.003107,18.783539,0.05885303,1,2014,2
-125.54886,27.00625,18.676968,0.05740977,1,2014,2
-125.484024,27.012917,18.649584,0.05530174,1,2014,2
-128.47081,27.015163,18.786121,0.05390151,1,2014,2
-125.41459,27.021164,18.59793,0.05462651,1,2014,2
-128.54108,27.028053,18.809978,0.0546856,1,2014,2
-125.34415,27.030834,18.60149,0.05609535,1,2014,2
-128.61053,27.035137,18.79809,0.058369264,1,2014,2
-125.27128,27.038221,18.648798,0.0558545,1,2014,2
-128.68289,27.041367,18.79339,0.069678314,1,2014,2
-125.20235,27.041582,18.72804,0.05379444,1,2014,2
-125.12928,27.044361,18.700657,0.0572865,1,2014,2
-124.95141,27.045467,18.655897,0.056405567,1,2014,2
-124.87933,27.046297,18.605951,0.051626727,1,2014,2
-128.71399,27.046904,18.79835,0.064191826,1,2014,2
-125.05522,27.049458,18.68671,0.05406384,1,2014,2
-124.80565,27.051767,18.586395,0.04944286,1,2014,2
-124.732445,27.05371,18.52295,0.04877479,1,2014,2
-128.79156,27.055525,18.773525,0.05209219,1,2014,2
-124.66423,27.058018,18.468643,0.050268378,1,2014,2
-128.86763,27.05902,18.732317,0.053853225,1,2014,2
-128.94124,27.06392,18.678028,0.05477305,1,2014,2
-129.02165,27.066507,18.680908,0.054758966,1,2014,2
-124.58952,27.06783,18.479246,0.048822712,1,2014,2
-124.48129,27.068632,18.479296,0.05146315,1,2014,2
-129.09555,27.07277,18.688206,0.054724906,1,2014,2
-124.43734,27.076115,18.451332,0.046004392,1,2014,2
-129.1589,27.076702,18.696259,0.05648778,1,2014,2
-124.51572,27.078463,18.47391,0.049065936,1,2014,2
-124.38263,27.084251,18.347124,0.048218247,1,2014,2
-129.21579,27.09205,18.690405,0.057471532,1,2014,2
-124.29983,27.09901,18.333769,0.05188263,1,2014,2
-124.22259,27.108755,18.30348,0.052839022,1,2014,2
-123.95913,27.112303,18.331213,0.048861727,1,2014,2
-124.14489,27.11606,18.272512,0.052809015,1,2014,2
-123.88362,27.117168,18.23913,0.053312134,1,2014,2
-129.28398,27.117706,18.678608,0.051527467,1,2014,2
-123.82966,27.12194,18.237776,0.052933794,1,2014,2
-124.07183,27.126102,18.290323,0.05291951,1,2014,2
-129.3435,27.12707,18.706446,0.05584346,1,2014,2
-123.76257,27.128147,18.191217,0.053868767,1,2014,2
-123.99801,27.136063,18.313364,0.04724015,1,2014,2
-123.691734,27.13882,18.17869,0.054917645,1,2014,2
-123.94824,27.139887,18.291574,0.04848796,1,2014,2
-129.41522,27.140337,18.704702,0.052147906,1,2014,2
-123.63154,27.154093,18.15233,0.05833157,1,2014,2
-129.48155,27.159761,18.719385,0.05554563,1,2014,2
-129.55453,27.161448,18.751818,0.051618315,1,2014,2
-123.560036,27.163815,18.114868,0.050969023,1,2014,2
-123.45523,27.168537,18.015766,0.054869402,1,2014,2
-123.496704,27.168608,18.06047,0.054086253,1,2014,2
-123.39152,27.16875,17.952934,0.061349474,1,2014,2
-129.6273,27.16925,18.776184,0.059147537,1,2014,2
-123.3133,27.173998,17.969496,0.062087253,1,2014,2
