"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-121.19608,28.178852,17.68666,0.08886911,1,2014,1
-123.930664,28.181969,17.671152,0.07555614,1,2014,1
-123.969376,28.187796,17.709072,0.07318659,1,2014,1
-123.07174,28.188366,17.941795,0.06861771,1,2014,1
-121.14406,28.190739,17.697165,0.090409935,1,2014,1
-122.93415,28.191471,18.02894,0.064928845,1,2014,1
-123.13113,28.19315,17.887074,0.06734109,1,2014,1
-123.01704,28.19419,18.004688,0.06317473,1,2014,1
-123.28787,28.196276,17.86081,0.06190752,1,2014,1
-123.24685,28.197462,17.876646,0.06959467,1,2014,1
-123.32619,28.197914,17.83578,0.06407646,1,2014,1
-121.27027,28.19843,17.780989,0.095323555,1,2014,1
-122.96793,28.198912,18.035786,0.0663132,1,2014,1
-122.86922,28.199442,18.057072,0.063649684,1,2014,1
-122.817505,28.199652,18.08854,0.06509787,1,2014,1
-123.914894,28.200212,17.632729,0.07663213,1,2014,1
-122.943886,28.200281,17.995506,0.06665944,1,2014,1
-122.759964,28.200697,18.109526,0.06544877,1,2014,1
-121.21224,28.200756,17.637918,0.08756267,1,2014,1
-124.03548,28.20168,17.684944,0.075354606,1,2014,1
-123.17242,28.20223,17.898241,0.06404473,1,2014,1
-122.9218,28.203876,18.003736,0.066553816,1,2014,1
-123.19191,28.204937,17.911,0.070198834,1,2014,1
-123.36488,28.205297,17.820007,0.068836905,1,2014,1
-122.64865,28.20539,18.16869,0.07310373,1,2014,1
-121.56238,28.205667,17.85707,0.084078394,1,2014,1
-122.704346,28.207064,18.137856,0.06528058,1,2014,1
-121.611336,28.208506,17.822493,0.08695617,1,2014,1
-124.11138,28.208576,17.79462,0.065496475,1,2014,1
-122.58666,28.20877,18.1996,0.062485196,1,2014,1
-123.40004,28.20915,17.8017,0.070848346,1,2014,1
-123.871765,28.211739,17.601667,0.078822725,1,2014,1
-123.761314,28.212673,17.562283,0.079024866,1,2014,1
-121.67192,28.212755,17.826565,0.08494718,1,2014,1
